time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2022-05-13,52.65,39.0,66.07,47.51,20.21,60.2,41.05,10.88
2022-05-16,52.41,38.5,63.93,47.31,20.44,59.19,41.72,11.1
2022-05-17,55.76,39.0,65.0,50.61,21.51,63.33,42.73,11.87
2022-05-18,55.99,39.0,65.0,49.59,21.51,64.24,42.4,12.03
2022-05-19,54.96,38.95,65.1,49.23,21.34,64.0,42.73,12.07
2022-05-20,54.24,38.9,64.9,49.49,21.2,64.48,42.34,12.19
2022-05-23,52.81,38.7,64.81,48.98,20.69,62.94,41.83,11.87
2022-05-24,54.88,38.8,65.0,49.84,19.65,64.0,42.51,12.12
2022-05-25,57.27,38.85,65.97,53.3,19.4,66.89,43.3,12.66
2022-05-26,56.79,38.85,66.75,53.6,19.7,66.89,43.13,12.48
2022-05-27,58.15,39.0,67.72,56.75,19.96,70.59,43.52,12.64
2022-05-30,57.75,39.25,68.5,56.49,19.96,69.87,43.86,12.68
2022-05-31,57.11,39.4,69.6,55.78,19.54,69.73,44.36,12.53
2022-06-01,57.27,39.65,70.3,56.75,19.34,70.02,45.26,12.46
2022-06-02,56.63,39.45,69.5,56.59,18.66,71.08,44.42,12.28
2022-06-03,55.99,39.4,69.4,57.86,18.8,73.72,43.58,12.37
2022-06-06,56.39,39.25,69.3,57.36,18.75,74.44,44.81,12.3
2022-06-07,56.23,39.0,68.5,58.68,18.69,74.11,45.54,12.16
2022-06-08,56.55,39.05,68.5,58.37,18.52,74.3,44.53,12.62
2022-06-09,55.92,39.05,68.3,58.52,19.03,74.01,43.75,12.55
2022-06-10,55.36,39.0,68.3,55.83,18.92,72.65,43.69,12.41
2022-06-13,52.89,38.2,66.0,52.98,17.9,67.81,42.96,11.58
2022-06-14,52.65,38.3,66.0,54.77,17.06,69.51,43.3,11.51
2022-06-15,51.38,38.35,65.9,55.63,16.55,71.54,43.01,11.24
2022-06-16,54.16,38.3,66.0,56.55,17.45,76.53,44.48,11.24
2022-06-17,53.13,38.3,66.0,56.55,17.26,75.27,42.79,10.52
2022-06-20,54.96,37.8,65.0,56.55,16.07,71.59,42.73,10.16
2022-06-21,58.7,37.5,65.0,54.77,15.47,71.2,43.69,10.13
2022-06-22,56.23,37.5,64.8,51.94,15.99,67.62,42.73,10.58
2022-06-23,56.31,37.1,63.2,52.55,16.22,70.23,42.68,10.86
2022-06-24,56.95,37.3,63.2,52.55,16.22,69.65,42.17,10.7
2022-06-27,56.63,36.9,63.5,53.17,17.04,69.26,42.11,10.88
2022-06-28,56.39,36.8,63.8,55.13,16.74,70.52,42.9,11.15
2022-06-29,57.59,36.7,63.3,55.32,16.92,70.72,42.45,11.15
2022-06-30,57.51,36.75,62.1,52.98,16.59,69.26,42.06,10.92
2022-07-01,58.7,36.3,61.4,54.09,16.66,68.1,41.61,10.92
2022-07-04,59.82,36.35,61.0,53.29,16.37,65.68,41.66,11.1
2022-07-05,58.23,36.15,60.5,52.49,16.29,63.45,41.61,11.49
2022-07-06,58.27,33.75,59.1,51.32,15.96,62.0,40.93,11.24
2022-07-07,60.16,34.9,61.0,51.08,16.18,62.0,42.45,11.33
2022-07-08,60.16,35.0,61.0,51.38,16.7,62.97,41.61,11.31
2022-07-11,60.16,35.0,60.5,50.89,16.4,62.48,40.48,11.01
2022-07-12,60.41,34.95,60.2,51.32,16.59,62.39,40.43,11.31
2022-07-13,59.75,34.75,60.1,50.71,16.59,61.61,40.37,11.42
2022-07-14,59.67,34.75,60.1,50.89,16.51,60.64,40.71,11.51
2022-07-15,59.01,34.8,60.0,50.52,17.26,59.58,40.65,11.49
2022-07-18,59.09,34.0,59.0,51.02,16.81,59.09,40.48,11.47
2022-07-19,60.0,34.4,58.8,51.02,16.48,58.12,40.09,11.37
2022-07-20,60.16,34.1,59.7,52.18,16.63,59.29,40.77,11.53
2022-07-21,60.33,34.25,58.9,52.25,16.89,62.1,40.77,11.56
2022-07-22,59.34,33.25,58.7,52.31,16.51,62.48,40.77,11.53
2022-07-25,60.08,33.65,58.9,52.49,16.29,61.32,40.99,11.4
2022-07-26,59.34,33.05,58.7,52.12,16.11,61.03,41.55,11.35
2022-07-27,59.5,33.25,58.6,52.37,15.81,60.16,42.17,11.24
2022-07-28,59.83,33.5,58.8,52.18,15.92,60.06,42.34,11.53
2022-07-29,60.0,32.0,59.9,51.32,15.99,59.09,42.0,11.58
2022-08-01,60.57,32.35,60.0,51.63,16.96,59.38,43.3,11.96
2022-08-02,60.49,33.3,62.5,52.25,17.04,60.06,44.36,12.05
2022-08-03,60.49,33.0,61.9,52.12,17.67,59.87,44.7,12.14
2022-08-04,60.41,33.2,63.0,52.92,17.59,60.74,46.39,12.16
2022-08-05,59.83,32.7,61.8,52.74,17.33,60.74,46.11,12.16
2022-08-08,59.5,32.3,61.5,52.86,17.56,60.93,46.11,12.23
2022-08-09,59.34,32.65,60.9,52.98,17.93,61.32,45.43,12.35
2022-08-10,59.75,32.4,61.3,52.86,17.71,61.61,45.26,12.28
